Sr No.,Questions,BloomsTaxClass,Keyword
1,"Given is an array after the first partition of quicksort: 3, 0, 2, 4, 10, 8, 7, 6, 9. Which of the element could be the pivot?",remember,which
2,How many steps are required to solve Tower of Hanoi problem with N discs?,remember,how
3,How many comparisons are required to find element 45 using Binary Search? 27 34 36 37 38 40 42 45 60,remember,how
4,"Given an array A[-3:4, 6:10], Find the address of A[0][7] if array elements are organized in Row-Major order. Base Address is 2100. Each element takes 2 bytes for storage.",remember,find
5,"Consider the following list of 10 numbers: 35, 65, 15, 45, 95, 75, 85, 55, 25,5. Perform the Bubble Sort on the list and show the data after each pass. What is the Number of Exchanges and comparisons?","apply , remember","show , what"
6,Convert the given arithmetic expression into postfix form using stack: A+B*(C/D)-(E/F)+G,evaluate,convert
7,What are the different types of Queues? Explain each with suitable example.,understand,explain
8,"Sort the following numbers using Quick Sort algorithm: 4,9,6,12,34,1,90,45,23. Show the Steps.",apply,show
9,Define stable sorting algorithm. Is selection sort stable? Justify your answer with appropriate example,"remember , evaluate","define , justify"
10,What can be the condition to check for overflow and underflow in circular queue? Explain with example.,"remember , understand","what , explain"
11,Consider the given singly linked list in which nodes contain INFO and LINK fields.Write steps to insert the node with INFO 28 such that it preserves the ordering of the terms in increasing order of their INFO fields.,create,write
12,The Given function tofront() takes a singly-linked list as input argument. Add the Conditions and Statements to move the last element to the front of the list and returns the modified list.,apply,add
13,Write an algorithm to insert a node at beginning in circular linked list.,create ,write
14,What can be the maximum number of nodes in binary tree with height 4?,remember,what
15,What is the chromatic number of a complete graph with n vertices?,remember,what
16,State True or False: Inorder Traversal of a Binary search tree gives data in descending order.,remember,state
17,"In a complete Binary Tree, every internal node has exactly 2 children. What are the number of leaves in such a tree with N internal nodes? Justify with any example.","remember , evaluate","what , justify"
18,What is the maximum height of any AVL-tree with 7 nodes? Assume that the height of a tree with a single node is 0.,"remember , analyze","what , assume"
19,"A hash table of length 9 uses hash function h(k)= k mod 9, and linear probing for collision resolution. Insert the following values in given order into the hash table. 9,12,15,33,80,53,50,95",apply,insert
